,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Global_Sales
0,Wii,2006.0,Sports,Nintendo,41.49,29.02,3.77,82.74
2,Wii,2008.0,Racing,Nintendo,15.85,12.88,3.79,35.82
3,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,33.0
6,DS,2006.0,Platform,Nintendo,11.38,9.23,6.5,30.01
7,Wii,2006.0,Misc,Nintendo,14.03,9.2,2.93,29.02
8,Wii,2009.0,Platform,Nintendo,14.59,7.06,4.7,28.62
10,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,24.76
11,DS,2005.0,Racing,Nintendo,9.81,7.57,4.13,23.42
13,Wii,2007.0,Sports,Nintendo,8.94,8.03,3.6,22.72
14,Wii,2009.0,Sports,Nintendo,9.09,8.59,2.53,22.0
19,DS,2005.0,Misc,Nintendo,4.75,9.26,4.16,20.22
20,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,18.36
26,DS,2010.0,Role-Playing,Nintendo,5.57,3.28,5.65,15.32
27,DS,2005.0,Puzzle,Nintendo,3.44,5.36,5.32,15.3
39,Wii,2008.0,Fighting,Nintendo,6.75,2.61,2.66,13.04
41,DS,2005.0,Simulation,Nintendo,2.55,3.52,5.33,12.27
45,DS,2009.0,Action,Nintendo,4.4,2.77,3.96,11.9
48,Wii,2007.0,Platform,Nintendo,6.16,3.4,1.2,11.52
59,DS,2004.0,Platform,Nintendo,5.08,3.11,1.25,10.42
60,Wii,2011.0,Misc,Ubisoft,6.05,3.15,0.0,10.26
68,Wii,2010.0,Misc,Ubisoft,5.84,2.89,0.01,9.52
74,DS,2007.0,Misc,Nintendo,4.46,1.88,1.98,9.02
78,Wii,2010.0,Misc,Nintendo,1.79,3.53,2.49,8.49
80,Wii,2007.0,Misc,Nintendo,3.81,2.3,1.58,8.42
81,DS,2012.0,Role-Playing,Nintendo,2.91,1.86,3.14,8.33
83,PC,2009.0,Simulation,Electronic Arts,0.98,6.42,0.0,8.11
85,Wii,2007.0,Sports,Sega,2.58,3.9,0.66,8.06
88,DS,2008.0,Role-Playing,Nintendo,2.82,1.78,2.69,7.84
91,Wii,2010.0,Platform,Nintendo,3.66,2.42,0.98,7.69
100,Wii,2006.0,Action,Nintendo,3.83,2.19,0.6,7.31
102,Wii,2009.0,Misc,Ubisoft,3.51,3.03,0.0,7.27
111,Wii,2012.0,Misc,Ubisoft,4.14,2.21,0.0,6.91
122,DS,2005.0,Misc,Nintendo,1.67,2.78,1.6,6.67
125,Wii,2010.0,Platform,Nintendo,3.25,1.84,1.03,6.59
137,PC,2004.0,Role-Playing,Activision,0.07,6.21,0.0,6.28
149,DS,2009.0,Role-Playing,Nintendo,0.66,0.69,4.35,5.84
177,DS,2007.0,Puzzle,Nintendo,1.22,2.48,1.03,5.26
181,PC,2012.0,Role-Playing,Activision,2.43,2.15,0.0,5.2
186,DS,2007.0,Action,Nintendo,1.9,1.83,0.95,5.17
189,DS,2008.0,Sports,Sega,1.64,2.48,0.44,5.14
206,Wii,2007.0,Shooter,Nintendo,3.06,1.18,0.29,5.0
209,DS,2007.0,Role-Playing,Nintendo,1.85,1.2,1.54,4.96
217,PC,2010.0,Strategy,Activision,2.56,1.68,0.0,4.83
