,A,B,P,DA,MA,MC,PA,SC,SK,Age_range,Playable,Sexualization,Romantic_Interest,Is_Female
0,0,0,1,0,0,0,1,0,0,5,1,0,0.0,1
1,0,0,1,0,0,0,0,1,0,7,0,0,0.0,1
2,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
3,0,1,0,0,0,1,0,0,0,3,0,0,0.0,1
4,1,0,0,0,0,0,0,1,0,5,0,0,0.0,1
5,0,0,1,0,0,1,0,0,0,5,0,2,1.0,1
6,0,0,1,1,0,0,0,0,0,3,0,0,0.0,1
7,0,0,1,1,0,0,0,0,0,0,0,2,0.0,1
8,0,0,1,1,0,0,0,0,0,2,0,0,0.0,1
9,0,0,1,0,0,1,0,0,0,5,0,1,1.0,1
10,0,0,1,1,0,0,0,0,0,2,0,0,0.0,1
11,0,0,1,1,0,0,0,0,0,0,0,0,0.0,1
12,0,1,0,0,0,0,0,1,0,0,0,3,1.0,1
13,0,1,0,0,0,0,0,1,0,0,0,3,0.0,1
14,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
15,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
16,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
17,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
18,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
19,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
20,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
21,0,0,1,0,0,0,0,1,0,0,0,2,0.0,1
22,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1
23,0,0,1,0,0,1,0,0,0,0,0,1,0.0,1
24,0,0,1,0,0,0,0,1,0,7,0,0,0.0,1
25,0,0,1,0,0,0,0,1,0,2,0,1,0.0,1
26,0,0,1,0,0,1,0,0,0,2,0,0,0.0,1
27,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1
28,0,0,1,0,0,1,0,0,0,5,0,2,1.0,1
29,0,0,1,0,0,0,0,1,0,5,0,2,0.5,1
30,0,0,1,0,0,0,0,1,0,5,0,2,0.5,1
31,0,0,1,0,0,0,0,0,1,0,0,0,0.0,1
32,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1
33,0,0,1,0,0,0,1,0,0,5,1,0,0.0,1
34,0,1,0,0,0,1,0,0,0,5,0,1,0.0,1
35,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
36,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
37,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
38,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
39,0,1,0,0,0,1,0,0,0,5,0,0,0.0,1
40,1,0,0,0,0,0,0,1,0,5,0,0,0.0,1
41,0,1,0,0,0,0,0,1,0,5,0,0,0.0,1
42,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
43,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
44,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
45,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
46,0,0,1,0,0,0,0,1,0,5,0,0,1.0,1
47,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
48,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
49,0,1,0,0,0,1,0,0,0,5,0,0,0.0,1
50,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
51,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
52,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
53,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
54,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
55,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
56,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
57,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
58,1,0,0,0,0,0,0,1,0,5,0,0,0.0,0
59,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0
60,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
61,0,0,1,1,0,0,0,0,0,3,0,0,0.0,0
62,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
63,0,1,0,0,0,1,0,0,0,3,0,0,0.0,0
64,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
65,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
66,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
67,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
68,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
69,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
70,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
71,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
72,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
73,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
74,0,0,1,0,0,0,0,1,0,1,0,0,0.0,0
75,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
76,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
77,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
78,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
79,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
80,0,1,0,0,0,1,0,0,0,5,0,0,0.0,0
81,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
82,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
83,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
84,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
85,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
86,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
87,0,0,1,0,0,0,0,0,1,0,1,0,0.0,0
88,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0
89,0,0,1,0,0,0,1,0,0,3,1,0,0.0,0
90,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
91,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
92,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0
93,0,0,1,0,0,0,0,1,0,3,0,0,0.0,0
94,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
95,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
96,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
97,0,0,1,0,0,0,0,1,0,7,0,0,0.0,0
